2026-07-02 14:53:25 [INFO] 시작 — 입력: input.csv / DB: raw.sqlite / 청크: 10,000행
2026-07-02 14:53:25 [INFO] 청크    1 완료 | 이번 청크:  10,000행 | 누적:     10,000행 | 경과:     0.06초
2026-07-02 14:53:25 [INFO] 청크    2 완료 | 이번 청크:  10,000행 | 누적:     20,000행 | 경과:     0.11초
2026-07-02 14:53:25 [INFO] 청크    3 완료 | 이번 청크:  10,000행 | 누적:     30,000행 | 경과:     0.17초
2026-07-02 14:53:25 [INFO] 청크    4 완료 | 이번 청크:  10,000행 | 누적:     40,000행 | 경과:     0.22초
2026-07-02 14:53:25 [INFO] 청크    5 완료 | 이번 청크:  10,000행 | 누적:     50,000행 | 경과:     0.28초
2026-07-02 14:53:25 [INFO] 청크    6 완료 | 이번 청크:  10,000행 | 누적:     60,000행 | 경과:     0.35초
2026-07-02 14:53:25 [INFO] 청크    7 완료 | 이번 청크:  10,000행 | 누적:     70,000행 | 경과:     0.41초
2026-07-02 14:53:25 [INFO] 청크    8 완료 | 이번 청크:  10,000행 | 누적:     80,000행 | 경과:     0.48초
2026-07-02 14:53:25 [INFO] 청크    9 완료 | 이번 청크:  10,000행 | 누적:     90,000행 | 경과:     0.54초
2026-07-02 14:53:26 [INFO] 청크   10 완료 | 이번 청크:  10,000행 | 누적:    100,000행 | 경과:     0.63초
2026-07-02 14:53:26 [INFO] 청크   11 완료 | 이번 청크:  10,000행 | 누적:    110,000행 | 경과:     0.71초
2026-07-02 14:53:26 [INFO] 청크   12 완료 | 이번 청크:  10,000행 | 누적:    120,000행 | 경과:     0.82초
2026-07-02 14:53:26 [INFO] 청크   13 완료 | 이번 청크:  10,000행 | 누적:    130,000행 | 경과:     0.91초
2026-07-02 14:53:26 [INFO] 청크   14 완료 | 이번 청크:  10,000행 | 누적:    140,000행 | 경과:     1.03초
2026-07-02 14:53:26 [INFO] 청크   15 완료 | 이번 청크:  10,000행 | 누적:    150,000행 | 경과:     1.15초
2026-07-02 14:53:26 [INFO] 청크   16 완료 | 이번 청크:  10,000행 | 누적:    160,000행 | 경과:     1.28초
2026-07-02 14:53:26 [INFO] 청크   17 완료 | 이번 청크:  10,000행 | 누적:    170,000행 | 경과:     1.41초
2026-07-02 14:53:26 [INFO] 청크   18 완료 | 이번 청크:  10,000행 | 누적:    180,000행 | 경과:     1.55초
2026-07-02 14:53:27 [INFO] 청크   19 완료 | 이번 청크:  10,000행 | 누적:    190,000행 | 경과:     1.70초
2026-07-02 14:53:27 [INFO] 청크   20 완료 | 이번 청크:  10,000행 | 누적:    200,000행 | 경과:     1.84초
2026-07-02 14:53:27 [INFO] 청크   21 완료 | 이번 청크:  10,000행 | 누적:    210,000행 | 경과:     1.99초
2026-07-02 14:53:27 [INFO] 청크   22 완료 | 이번 청크:  10,000행 | 누적:    220,000행 | 경과:     2.15초
2026-07-02 14:53:27 [INFO] 청크   23 완료 | 이번 청크:  10,000행 | 누적:    230,000행 | 경과:     2.32초
2026-07-02 14:53:27 [INFO] 청크   24 완료 | 이번 청크:  10,000행 | 누적:    240,000행 | 경과:     2.48초
2026-07-02 14:53:28 [INFO] 청크   25 완료 | 이번 청크:  10,000행 | 누적:    250,000행 | 경과:     2.66초
2026-07-02 14:53:28 [INFO] 청크   26 완료 | 이번 청크:  10,000행 | 누적:    260,000행 | 경과:     2.83초
2026-07-02 14:53:28 [INFO] 청크   27 완료 | 이번 청크:  10,000행 | 누적:    270,000행 | 경과:     3.00초
2026-07-02 14:53:28 [INFO] 청크   28 완료 | 이번 청크:  10,000행 | 누적:    280,000행 | 경과:     3.18초
2026-07-02 14:53:28 [INFO] 청크   29 완료 | 이번 청크:  10,000행 | 누적:    290,000행 | 경과:     3.36초
2026-07-02 14:53:28 [INFO] 청크   30 완료 | 이번 청크:  10,000행 | 누적:    300,000행 | 경과:     3.55초
2026-07-02 14:53:29 [INFO] 청크   31 완료 | 이번 청크:  10,000행 | 누적:    310,000행 | 경과:     3.75초
2026-07-02 14:53:29 [INFO] 청크   32 완료 | 이번 청크:  10,000행 | 누적:    320,000행 | 경과:     3.93초
2026-07-02 14:53:29 [INFO] 청크   33 완료 | 이번 청크:  10,000행 | 누적:    330,000행 | 경과:     4.14초
2026-07-02 14:53:29 [INFO] 청크   34 완료 | 이번 청크:  10,000행 | 누적:    340,000행 | 경과:     4.34초
2026-07-02 14:53:29 [INFO] 청크   35 완료 | 이번 청크:  10,000행 | 누적:    350,000행 | 경과:     4.55초
2026-07-02 14:53:30 [INFO] 청크   36 완료 | 이번 청크:  10,000행 | 누적:    360,000행 | 경과:     4.75초
2026-07-02 14:53:30 [INFO] 청크   37 완료 | 이번 청크:  10,000행 | 누적:    370,000행 | 경과:     4.96초
2026-07-02 14:53:30 [INFO] 청크   38 완료 | 이번 청크:  10,000행 | 누적:    380,000행 | 경과:     5.18초
2026-07-02 14:53:30 [INFO] 청크   39 완료 | 이번 청크:  10,000행 | 누적:    390,000행 | 경과:     5.42초
2026-07-02 14:53:31 [INFO] 청크   40 완료 | 이번 청크:  10,000행 | 누적:    400,000행 | 경과:     5.63초
2026-07-02 14:53:31 [INFO] 청크   41 완료 | 이번 청크:  10,000행 | 누적:    410,000행 | 경과:     5.86초
2026-07-02 14:53:31 [INFO] 청크   42 완료 | 이번 청크:  10,000행 | 누적:    420,000행 | 경과:     6.08초
2026-07-02 14:53:31 [INFO] 청크   43 완료 | 이번 청크:  10,000행 | 누적:    430,000행 | 경과:     6.30초
2026-07-02 14:53:31 [INFO] 청크   44 완료 | 이번 청크:  10,000행 | 누적:    440,000행 | 경과:     6.54초
2026-07-02 14:53:32 [INFO] 청크   45 완료 | 이번 청크:  10,000행 | 누적:    450,000행 | 경과:     6.77초
2026-07-02 14:53:32 [INFO] 청크   46 완료 | 이번 청크:  10,000행 | 누적:    460,000행 | 경과:     7.00초
2026-07-02 14:53:32 [INFO] 청크   47 완료 | 이번 청크:  10,000행 | 누적:    470,000행 | 경과:     7.25초
2026-07-02 14:53:32 [INFO] 청크   48 완료 | 이번 청크:  10,000행 | 누적:    480,000행 | 경과:     7.48초
2026-07-02 14:53:33 [INFO] 청크   49 완료 | 이번 청크:  10,000행 | 누적:    490,000행 | 경과:     7.73초
2026-07-02 14:53:33 [INFO] 청크   50 완료 | 이번 청크:  10,000행 | 누적:    500,000행 | 경과:     7.97초
2026-07-02 14:53:33 [INFO] 청크   51 완료 | 이번 청크:  10,000행 | 누적:    510,000행 | 경과:     8.21초
2026-07-02 14:53:33 [INFO] 청크   52 완료 | 이번 청크:  10,000행 | 누적:    520,000행 | 경과:     8.46초
2026-07-02 14:53:34 [INFO] 청크   53 완료 | 이번 청크:  10,000행 | 누적:    530,000행 | 경과:     8.71초
2026-07-02 14:53:34 [INFO] 청크   54 완료 | 이번 청크:  10,000행 | 누적:    540,000행 | 경과:     8.97초
