2026-07-02 15:16:06 [INFO] SHP 로드 중: emd.zip
2026-07-02 15:16:06 [INFO]   사용할 shp: emd.shp
2026-07-02 15:17:32 [INFO] SHP 로드 중: emd.zip
2026-07-02 15:17:32 [INFO]   사용할 shp: emd.shp
2026-07-02 15:17:32 [INFO]   압축 해제 경로: C:\Users\ZZINNY~1\AppData\Local\Temp\emd_shp_cjblr00x\emd.shp
2026-07-02 15:17:33 [INFO]   폴리곤 수: 5,067  /  CRS → 4326
2026-07-02 15:17:33 [INFO] 매칭 대상 행 수: 806,856
2026-07-02 15:17:34 [INFO] 청크    1 완료 | 처리:  5,000행 | 매칭 성공:  4,594 / 실패:   406 | 누적:      5,000/806,856 | 경과:     1.73초
2026-07-02 15:17:34 [INFO] 청크    2 완료 | 처리:  5,000행 | 매칭 성공:  4,593 / 실패:   407 | 누적:     10,000/806,856 | 경과:     2.08초
2026-07-02 15:17:34 [INFO] 청크    3 완료 | 처리:  5,000행 | 매칭 성공:  4,573 / 실패:   427 | 누적:     15,000/806,856 | 경과:     2.43초
2026-07-02 15:17:35 [INFO] 청크    4 완료 | 처리:  5,000행 | 매칭 성공:  4,597 / 실패:   403 | 누적:     20,000/806,856 | 경과:     2.77초
2026-07-02 15:17:35 [INFO] 청크    5 완료 | 처리:  5,000행 | 매칭 성공:  4,555 / 실패:   445 | 누적:     25,000/806,856 | 경과:     3.12초
2026-07-02 15:17:35 [INFO] 청크    6 완료 | 처리:  5,000행 | 매칭 성공:  4,581 / 실패:   419 | 누적:     30,000/806,856 | 경과:     3.46초
2026-07-02 15:17:36 [INFO] 청크    7 완료 | 처리:  5,000행 | 매칭 성공:  4,553 / 실패:   447 | 누적:     35,000/806,856 | 경과:     3.82초
2026-07-02 15:17:36 [INFO] 청크    8 완료 | 처리:  5,000행 | 매칭 성공:  4,589 / 실패:   411 | 누적:     40,000/806,856 | 경과:     4.17초
2026-07-02 15:17:36 [INFO] 청크    9 완료 | 처리:  5,000행 | 매칭 성공:  4,535 / 실패:   465 | 누적:     45,000/806,856 | 경과:     4.51초
2026-07-02 15:17:37 [INFO] 청크   10 완료 | 처리:  5,000행 | 매칭 성공:  4,596 / 실패:   404 | 누적:     50,000/806,856 | 경과:     4.86초
2026-07-02 15:17:37 [INFO] 청크   11 완료 | 처리:  5,000행 | 매칭 성공:  4,653 / 실패:   347 | 누적:     55,000/806,856 | 경과:     5.20초
2026-07-02 15:17:37 [INFO] 청크   12 완료 | 처리:  5,000행 | 매칭 성공:  4,684 / 실패:   316 | 누적:     60,000/806,856 | 경과:     5.58초
2026-07-02 15:17:38 [INFO] 청크   13 완료 | 처리:  5,000행 | 매칭 성공:  4,644 / 실패:   356 | 누적:     65,000/806,856 | 경과:     5.92초
2026-07-02 15:17:38 [INFO] 청크   14 완료 | 처리:  5,000행 | 매칭 성공:  4,642 / 실패:   358 | 누적:     70,000/806,856 | 경과:     6.29초
2026-07-02 15:17:39 [INFO] 청크   15 완료 | 처리:  5,000행 | 매칭 성공:  4,640 / 실패:   360 | 누적:     75,000/806,856 | 경과:     6.65초
2026-07-02 15:17:39 [INFO] 청크   16 완료 | 처리:  5,000행 | 매칭 성공:  4,674 / 실패:   326 | 누적:     80,000/806,856 | 경과:     6.99초
2026-07-02 15:17:39 [INFO] 청크   17 완료 | 처리:  5,000행 | 매칭 성공:  4,639 / 실패:   361 | 누적:     85,000/806,856 | 경과:     7.34초
2026-07-02 15:17:40 [INFO] 청크   18 완료 | 처리:  5,000행 | 매칭 성공:  4,633 / 실패:   367 | 누적:     90,000/806,856 | 경과:     7.70초
2026-07-02 15:17:40 [INFO] 청크   19 완료 | 처리:  5,000행 | 매칭 성공:  4,682 / 실패:   318 | 누적:     95,000/806,856 | 경과:     8.05초
2026-07-02 15:17:40 [INFO] 청크   20 완료 | 처리:  5,000행 | 매칭 성공:  4,682 / 실패:   318 | 누적:    100,000/806,856 | 경과:     8.40초
2026-07-02 15:17:41 [INFO] 청크   21 완료 | 처리:  5,000행 | 매칭 성공:  4,657 / 실패:   343 | 누적:    105,000/806,856 | 경과:     8.77초
2026-07-02 15:17:41 [INFO] 청크   22 완료 | 처리:  5,000행 | 매칭 성공:  4,665 / 실패:   335 | 누적:    110,000/806,856 | 경과:     9.15초
2026-07-02 15:17:41 [INFO] 청크   23 완료 | 처리:  5,000행 | 매칭 성공:  4,645 / 실패:   355 | 누적:    115,000/806,856 | 경과:     9.51초
2026-07-02 15:17:42 [INFO] 청크   24 완료 | 처리:  5,000행 | 매칭 성공:  4,653 / 실패:   347 | 누적:    120,000/806,856 | 경과:     9.86초
2026-07-02 15:17:42 [INFO] 청크   25 완료 | 처리:  5,000행 | 매칭 성공:  4,665 / 실패:   335 | 누적:    125,000/806,856 | 경과:    10.22초
2026-07-02 15:17:42 [INFO] 청크   26 완료 | 처리:  5,000행 | 매칭 성공:  4,635 / 실패:   365 | 누적:    130,000/806,856 | 경과:    10.61초
2026-07-02 15:17:43 [INFO] 청크   27 완료 | 처리:  5,000행 | 매칭 성공:  4,694 / 실패:   306 | 누적:    135,000/806,856 | 경과:    10.98초
2026-07-02 15:17:43 [INFO] 청크   28 완료 | 처리:  5,000행 | 매칭 성공:  4,671 / 실패:   329 | 누적:    140,000/806,856 | 경과:    11.35초
2026-07-02 15:17:44 [INFO] 청크   29 완료 | 처리:  5,000행 | 매칭 성공:  4,678 / 실패:   322 | 누적:    145,000/806,856 | 경과:    11.72초
2026-07-02 15:17:44 [INFO] 청크   30 완료 | 처리:  5,000행 | 매칭 성공:  4,682 / 실패:   318 | 누적:    150,000/806,856 | 경과:    12.08초
2026-07-02 15:17:44 [INFO] 청크   31 완료 | 처리:  5,000행 | 매칭 성공:  4,648 / 실패:   352 | 누적:    155,000/806,856 | 경과:    12.44초
2026-07-02 15:17:45 [INFO] 청크   32 완료 | 처리:  5,000행 | 매칭 성공:  4,658 / 실패:   342 | 누적:    160,000/806,856 | 경과:    12.80초
2026-07-02 15:17:45 [INFO] 청크   33 완료 | 처리:  5,000행 | 매칭 성공:  4,670 / 실패:   330 | 누적:    165,000/806,856 | 경과:    13.17초
2026-07-02 15:17:45 [INFO] 청크   34 완료 | 처리:  5,000행 | 매칭 성공:  4,648 / 실패:   352 | 누적:    170,000/806,856 | 경과:    13.53초
2026-07-02 15:17:46 [INFO] 청크   35 완료 | 처리:  5,000행 | 매칭 성공:  4,662 / 실패:   338 | 누적:    175,000/806,856 | 경과:    13.90초
2026-07-02 15:17:46 [INFO] 청크   36 완료 | 처리:  5,000행 | 매칭 성공:  4,639 / 실패:   361 | 누적:    180,000/806,856 | 경과:    14.27초
2026-07-02 15:17:47 [INFO] 청크   37 완료 | 처리:  5,000행 | 매칭 성공:  4,629 / 실패:   371 | 누적:    185,000/806,856 | 경과:    14.63초
2026-07-02 15:17:47 [INFO] 청크   38 완료 | 처리:  5,000행 | 매칭 성공:  4,705 / 실패:   295 | 누적:    190,000/806,856 | 경과:    14.99초
2026-07-02 15:17:47 [INFO] 청크   39 완료 | 처리:  5,000행 | 매칭 성공:  4,613 / 실패:   387 | 누적:    195,000/806,856 | 경과:    15.35초
2026-07-02 15:17:48 [INFO] 청크   40 완료 | 처리:  5,000행 | 매칭 성공:  4,623 / 실패:   377 | 누적:    200,000/806,856 | 경과:    15.74초
2026-07-02 15:17:48 [INFO] 청크   41 완료 | 처리:  5,000행 | 매칭 성공:  4,648 / 실패:   352 | 누적:    205,000/806,856 | 경과:    16.11초
2026-07-02 15:17:48 [INFO] 청크   42 완료 | 처리:  5,000행 | 매칭 성공:  4,647 / 실패:   353 | 누적:    210,000/806,856 | 경과:    16.50초
2026-07-02 15:17:49 [INFO] 청크   43 완료 | 처리:  5,000행 | 매칭 성공:  4,632 / 실패:   368 | 누적:    215,000/806,856 | 경과:    16.87초
2026-07-02 15:17:49 [INFO] 청크   44 완료 | 처리:  5,000행 | 매칭 성공:  4,670 / 실패:   330 | 누적:    220,000/806,856 | 경과:    17.24초
2026-07-02 15:17:49 [INFO] 청크   45 완료 | 처리:  5,000행 | 매칭 성공:  4,617 / 실패:   383 | 누적:    225,000/806,856 | 경과:    17.60초
2026-07-02 15:17:50 [INFO] 청크   46 완료 | 처리:  5,000행 | 매칭 성공:  4,656 / 실패:   344 | 누적:    230,000/806,856 | 경과:    17.97초
2026-07-02 15:17:50 [INFO] 청크   47 완료 | 처리:  5,000행 | 매칭 성공:  4,662 / 실패:   338 | 누적:    235,000/806,856 | 경과:    18.33초
2026-07-02 15:17:51 [INFO] 청크   48 완료 | 처리:  5,000행 | 매칭 성공:  4,618 / 실패:   382 | 누적:    240,000/806,856 | 경과:    18.70초
2026-07-02 15:17:51 [INFO] 청크   49 완료 | 처리:  5,000행 | 매칭 성공:  4,674 / 실패:   326 | 누적:    245,000/806,856 | 경과:    19.09초
2026-07-02 15:17:51 [INFO] 청크   50 완료 | 처리:  5,000행 | 매칭 성공:  4,639 / 실패:   361 | 누적:    250,000/806,856 | 경과:    19.46초
2026-07-02 15:17:52 [INFO] 청크   51 완료 | 처리:  5,000행 | 매칭 성공:  4,666 / 실패:   334 | 누적:    255,000/806,856 | 경과:    19.83초
2026-07-02 15:17:52 [INFO] 청크   52 완료 | 처리:  5,000행 | 매칭 성공:  4,646 / 실패:   354 | 누적:    260,000/806,856 | 경과:    20.21초
2026-07-02 15:17:52 [INFO] 청크   53 완료 | 처리:  5,000행 | 매칭 성공:  4,648 / 실패:   352 | 누적:    265,000/806,856 | 경과:    20.58초
2026-07-02 15:17:53 [INFO] 청크   54 완료 | 처리:  5,000행 | 매칭 성공:  4,641 / 실패:   359 | 누적:    270,000/806,856 | 경과:    20.98초
2026-07-02 15:17:53 [INFO] 청크   55 완료 | 처리:  5,000행 | 매칭 성공:  4,638 / 실패:   362 | 누적:    275,000/806,856 | 경과:    21.35초
2026-07-02 15:17:54 [INFO] 청크   56 완료 | 처리:  5,000행 | 매칭 성공:  4,642 / 실패:   358 | 누적:    280,000/806,856 | 경과:    21.75초
2026-07-02 15:17:54 [INFO] 청크   57 완료 | 처리:  5,000행 | 매칭 성공:  4,656 / 실패:   344 | 누적:    285,000/806,856 | 경과:    22.12초
2026-07-02 15:17:54 [INFO] 청크   58 완료 | 처리:  5,000행 | 매칭 성공:  4,648 / 실패:   352 | 누적:    290,000/806,856 | 경과:    22.50초
2026-07-02 15:17:55 [INFO] 청크   59 완료 | 처리:  5,000행 | 매칭 성공:  4,630 / 실패:   370 | 누적:    295,000/806,856 | 경과:    22.88초
2026-07-02 15:17:55 [INFO] 청크   60 완료 | 처리:  5,000행 | 매칭 성공:  4,612 / 실패:   388 | 누적:    300,000/806,856 | 경과:    23.25초
2026-07-02 15:17:56 [INFO] 청크   61 완료 | 처리:  5,000행 | 매칭 성공:  4,621 / 실패:   379 | 누적:    305,000/806,856 | 경과:    23.63초
2026-07-02 15:17:56 [INFO] 청크   62 완료 | 처리:  5,000행 | 매칭 성공:  4,633 / 실패:   367 | 누적:    310,000/806,856 | 경과:    24.00초
2026-07-02 15:17:56 [INFO] 청크   63 완료 | 처리:  5,000행 | 매칭 성공:  4,652 / 실패:   348 | 누적:    315,000/806,856 | 경과:    24.40초
2026-07-02 15:17:57 [INFO] 청크   64 완료 | 처리:  5,000행 | 매칭 성공:  4,694 / 실패:   306 | 누적:    320,000/806,856 | 경과:    24.78초
2026-07-02 15:17:57 [INFO] 청크   65 완료 | 처리:  5,000행 | 매칭 성공:  4,672 / 실패:   328 | 누적:    325,000/806,856 | 경과:    25.16초
2026-07-02 15:17:57 [INFO] 청크   66 완료 | 처리:  5,000행 | 매칭 성공:  4,679 / 실패:   321 | 누적:    330,000/806,856 | 경과:    25.56초
2026-07-02 15:17:58 [INFO] 청크   67 완료 | 처리:  5,000행 | 매칭 성공:  4,669 / 실패:   331 | 누적:    335,000/806,856 | 경과:    25.96초
