2026-07-02 15:44:50 [INFO] 처리 대상 행 수 (emd_cd='-1'): 56,831
2026-07-02 15:45:07 [INFO] 청크    1 완료 | 처리:   100행 | 성공:      85 / 실패:     15 | 누적:      100/56,831 | 경과:    16.49초
2026-07-02 15:45:22 [INFO] 청크    2 완료 | 처리:   100행 | 성공:     171 / 실패:     29 | 누적:      200/56,831 | 경과:    31.62초
2026-07-02 15:45:38 [INFO] 청크    3 완료 | 처리:   100행 | 성공:     258 / 실패:     42 | 누적:      300/56,831 | 경과:    47.56초
2026-07-02 15:45:53 [INFO] 청크    4 완료 | 처리:   100행 | 성공:     344 / 실패:     56 | 누적:      400/56,831 | 경과:    63.06초
2026-07-02 15:46:09 [INFO] 청크    5 완료 | 처리:   100행 | 성공:     431 / 실패:     69 | 누적:      500/56,831 | 경과:    78.76초
2026-07-02 15:46:25 [INFO] 청크    6 완료 | 처리:   100행 | 성공:     522 / 실패:     78 | 누적:      600/56,831 | 경과:    94.58초
2026-07-02 15:46:39 [INFO] 청크    7 완료 | 처리:   100행 | 성공:     603 / 실패:     97 | 누적:      700/56,831 | 경과:   109.20초
2026-07-02 15:46:54 [INFO] 청크    8 완료 | 처리:   100행 | 성공:     687 / 실패:    113 | 누적:      800/56,831 | 경과:   123.92초
2026-07-02 15:47:09 [INFO] 청크    9 완료 | 처리:   100행 | 성공:     768 / 실패:    132 | 누적:      900/56,831 | 경과:   138.86초
2026-07-02 15:47:24 [INFO] 청크   10 완료 | 처리:   100행 | 성공:     850 / 실패:    150 | 누적:    1,000/56,831 | 경과:   153.97초
2026-07-02 15:47:40 [INFO] 청크   11 완료 | 처리:   100행 | 성공:     938 / 실패:    162 | 누적:    1,100/56,831 | 경과:   169.49초
2026-07-02 15:47:55 [INFO] 청크   12 완료 | 처리:   100행 | 성공:   1,022 / 실패:    178 | 누적:    1,200/56,831 | 경과:   184.42초
2026-07-02 15:48:09 [INFO] 청크   13 완료 | 처리:   100행 | 성공:   1,106 / 실패:    194 | 누적:    1,300/56,831 | 경과:   199.22초
2026-07-02 15:48:24 [INFO] 청크   14 완료 | 처리:   100행 | 성공:   1,189 / 실패:    211 | 누적:    1,400/56,831 | 경과:   214.13초
2026-07-02 15:48:42 [INFO] 청크   15 완료 | 처리:   100행 | 성공:   1,271 / 실패:    229 | 누적:    1,500/56,831 | 경과:   231.48초
2026-07-02 15:48:58 [INFO] 청크   16 완료 | 처리:   100행 | 성공:   1,356 / 실패:    244 | 누적:    1,600/56,831 | 경과:   247.39초
2026-07-02 15:49:14 [INFO] 청크   17 완료 | 처리:   100행 | 성공:   1,448 / 실패:    252 | 누적:    1,700/56,831 | 경과:   263.88초
2026-07-02 15:49:29 [INFO] 청크   18 완료 | 처리:   100행 | 성공:   1,531 / 실패:    269 | 누적:    1,800/56,831 | 경과:   279.10초
2026-07-02 15:49:44 [INFO] 청크   19 완료 | 처리:   100행 | 성공:   1,618 / 실패:    282 | 누적:    1,900/56,831 | 경과:   294.18초
2026-07-02 15:50:01 [INFO] 청크   20 완료 | 처리:   100행 | 성공:   1,705 / 실패:    295 | 누적:    2,000/56,831 | 경과:   310.60초
2026-07-02 15:50:14 [INFO] 청크   21 완료 | 처리:   100행 | 성공:   1,779 / 실패:    321 | 누적:    2,100/56,831 | 경과:   323.61초
2026-07-02 15:50:29 [INFO] 청크   22 완료 | 처리:   100행 | 성공:   1,863 / 실패:    337 | 누적:    2,200/56,831 | 경과:   338.96초
2026-07-02 15:50:45 [INFO] 청크   23 완료 | 처리:   100행 | 성공:   1,952 / 실패:    348 | 누적:    2,300/56,831 | 경과:   354.40초
2026-07-02 15:51:01 [INFO] 청크   24 완료 | 처리:   100행 | 성공:   2,043 / 실패:    357 | 누적:    2,400/56,831 | 경과:   370.60초
2026-07-02 15:51:17 [INFO] 청크   25 완료 | 처리:   100행 | 성공:   2,131 / 실패:    369 | 누적:    2,500/56,831 | 경과:   386.37초
2026-07-02 15:51:31 [INFO] 청크   26 완료 | 처리:   100행 | 성공:   2,214 / 실패:    386 | 누적:    2,600/56,831 | 경과:   401.16초
2026-07-02 15:51:48 [INFO] 청크   27 완료 | 처리:   100행 | 성공:   2,303 / 실패:    397 | 누적:    2,700/56,831 | 경과:   417.40초
2026-07-02 15:52:02 [INFO] 청크   28 완료 | 처리:   100행 | 성공:   2,381 / 실패:    419 | 누적:    2,800/56,831 | 경과:   431.70초
2026-07-02 15:52:17 [INFO] 청크   29 완료 | 처리:   100행 | 성공:   2,465 / 실패:    435 | 누적:    2,900/56,831 | 경과:   446.78초
2026-07-02 15:52:32 [INFO] 청크   30 완료 | 처리:   100행 | 성공:   2,550 / 실패:    450 | 누적:    3,000/56,831 | 경과:   461.94초
2026-07-02 15:52:48 [INFO] 청크   31 완료 | 처리:   100행 | 성공:   2,634 / 실패:    466 | 누적:    3,100/56,831 | 경과:   477.84초
2026-07-02 15:53:03 [INFO] 청크   32 완료 | 처리:   100행 | 성공:   2,719 / 실패:    481 | 누적:    3,200/56,831 | 경과:   492.51초
2026-07-02 15:53:19 [INFO] 청크   33 완료 | 처리:   100행 | 성공:   2,805 / 실패:    495 | 누적:    3,300/56,831 | 경과:   508.81초
2026-07-02 15:53:34 [INFO] 청크   34 완료 | 처리:   100행 | 성공:   2,892 / 실패:    508 | 누적:    3,400/56,831 | 경과:   523.65초
2026-07-02 15:53:50 [INFO] 청크   35 완료 | 처리:   100행 | 성공:   2,979 / 실패:    521 | 누적:    3,500/56,831 | 경과:   539.84초
2026-07-02 15:54:08 [INFO] 청크   36 완료 | 처리:   100행 | 성공:   3,066 / 실패:    534 | 누적:    3,600/56,831 | 경과:   558.10초
2026-07-02 15:54:23 [INFO] 청크   37 완료 | 처리:   100행 | 성공:   3,148 / 실패:    552 | 누적:    3,700/56,831 | 경과:   572.56초
2026-07-02 15:54:38 [INFO] 청크   38 완료 | 처리:   100행 | 성공:   3,233 / 실패:    567 | 누적:    3,800/56,831 | 경과:   588.15초
2026-07-02 15:54:53 [INFO] 청크   39 완료 | 처리:   100행 | 성공:   3,312 / 실패:    588 | 누적:    3,900/56,831 | 경과:   602.40초
2026-07-02 15:55:08 [INFO] 청크   40 완료 | 처리:   100행 | 성공:   3,400 / 실패:    600 | 누적:    4,000/56,831 | 경과:   617.84초
2026-07-02 15:55:23 [INFO] 청크   41 완료 | 처리:   100행 | 성공:   3,485 / 실패:    615 | 누적:    4,100/56,831 | 경과:   633.28초
2026-07-02 15:55:37 [INFO] 청크   42 완료 | 처리:   100행 | 성공:   3,565 / 실패:    635 | 누적:    4,200/56,831 | 경과:   647.27초
2026-07-02 15:55:53 [INFO] 청크   43 완료 | 처리:   100행 | 성공:   3,650 / 실패:    650 | 누적:    4,300/56,831 | 경과:   663.28초
2026-07-02 15:56:09 [INFO] 청크   44 완료 | 처리:   100행 | 성공:   3,735 / 실패:    665 | 누적:    4,400/56,831 | 경과:   678.76초
2026-07-02 15:56:24 [INFO] 청크   45 완료 | 처리:   100행 | 성공:   3,819 / 실패:    681 | 누적:    4,500/56,831 | 경과:   694.28초
2026-07-02 15:56:39 [INFO] 청크   46 완료 | 처리:   100행 | 성공:   3,901 / 실패:    699 | 누적:    4,600/56,831 | 경과:   708.63초
2026-07-02 15:56:54 [INFO] 청크   47 완료 | 처리:   100행 | 성공:   3,986 / 실패:    714 | 누적:    4,700/56,831 | 경과:   723.41초
2026-07-02 15:57:10 [INFO] 청크   48 완료 | 처리:   100행 | 성공:   4,076 / 실패:    724 | 누적:    4,800/56,831 | 경과:   739.49초
2026-07-02 15:57:24 [INFO] 청크   49 완료 | 처리:   100행 | 성공:   4,157 / 실패:    743 | 누적:    4,900/56,831 | 경과:   753.59초
2026-07-02 15:57:39 [INFO] 청크   50 완료 | 처리:   100행 | 성공:   4,237 / 실패:    763 | 누적:    5,000/56,831 | 경과:   768.33초
2026-07-02 15:57:53 [INFO] 청크   51 완료 | 처리:   100행 | 성공:   4,317 / 실패:    783 | 누적:    5,100/56,831 | 경과:   782.98초
2026-07-02 15:58:09 [INFO] 청크   52 완료 | 처리:   100행 | 성공:   4,400 / 실패:    800 | 누적:    5,200/56,831 | 경과:   798.39초
2026-07-02 15:58:24 [INFO] 청크   53 완료 | 처리:   100행 | 성공:   4,487 / 실패:    813 | 누적:    5,300/56,831 | 경과:   813.34초
2026-07-02 15:58:38 [INFO] 청크   54 완료 | 처리:   100행 | 성공:   4,571 / 실패:    829 | 누적:    5,400/56,831 | 경과:   827.73초
2026-07-02 15:58:52 [INFO] 청크   55 완료 | 처리:   100행 | 성공:   4,649 / 실패:    851 | 누적:    5,500/56,831 | 경과:   841.32초
2026-07-02 15:59:06 [INFO] 청크   56 완료 | 처리:   100행 | 성공:   4,729 / 실패:    871 | 누적:    5,600/56,831 | 경과:   855.49초
2026-07-02 15:59:21 [INFO] 청크   57 완료 | 처리:   100행 | 성공:   4,816 / 실패:    884 | 누적:    5,700/56,831 | 경과:   870.90초
2026-07-02 15:59:34 [INFO] 청크   58 완료 | 처리:   100행 | 성공:   4,893 / 실패:    907 | 누적:    5,800/56,831 | 경과:   884.24초
2026-07-02 15:59:53 [INFO] 청크   59 완료 | 처리:   100행 | 성공:   4,981 / 실패:    919 | 누적:    5,900/56,831 | 경과:   902.42초
2026-07-02 16:00:06 [INFO] 청크   60 완료 | 처리:   100행 | 성공:   5,059 / 실패:    941 | 누적:    6,000/56,831 | 경과:   916.06초
2026-07-02 16:00:22 [INFO] 청크   61 완료 | 처리:   100행 | 성공:   5,147 / 실패:    953 | 누적:    6,100/56,831 | 경과:   932.11초
2026-07-02 16:00:37 [INFO] 청크   62 완료 | 처리:   100행 | 성공:   5,227 / 실패:    973 | 누적:    6,200/56,831 | 경과:   946.94초
2026-07-02 16:00:52 [INFO] 청크   63 완료 | 처리:   100행 | 성공:   5,313 / 실패:    987 | 누적:    6,300/56,831 | 경과:   961.79초
2026-07-02 16:01:06 [INFO] 청크   64 완료 | 처리:   100행 | 성공:   5,397 / 실패:  1,003 | 누적:    6,400/56,831 | 경과:   976.22초
2026-07-02 16:01:23 [INFO] 청크   65 완료 | 처리:   100행 | 성공:   5,486 / 실패:  1,014 | 누적:    6,500/56,831 | 경과:   992.61초
2026-07-02 16:01:38 [INFO] 청크   66 완료 | 처리:   100행 | 성공:   5,575 / 실패:  1,025 | 누적:    6,600/56,831 | 경과:  1008.17초
2026-07-02 16:01:53 [INFO] 청크   67 완료 | 처리:   100행 | 성공:   5,661 / 실패:  1,039 | 누적:    6,700/56,831 | 경과:  1022.92초
2026-07-02 16:02:10 [INFO] 청크   68 완료 | 처리:   100행 | 성공:   5,749 / 실패:  1,051 | 누적:    6,800/56,831 | 경과:  1039.89초
2026-07-02 16:02:25 [INFO] 청크   69 완료 | 처리:   100행 | 성공:   5,831 / 실패:  1,069 | 누적:    6,900/56,831 | 경과:  1054.51초
2026-07-02 16:02:40 [INFO] 청크   70 완료 | 처리:   100행 | 성공:   5,913 / 실패:  1,087 | 누적:    7,000/56,831 | 경과:  1069.72초
2026-07-02 16:02:55 [INFO] 청크   71 완료 | 처리:   100행 | 성공:   5,994 / 실패:  1,106 | 누적:    7,100/56,831 | 경과:  1084.89초
2026-07-02 16:03:10 [INFO] 청크   72 완료 | 처리:   100행 | 성공:   6,076 / 실패:  1,124 | 누적:    7,200/56,831 | 경과:  1099.96초
2026-07-02 16:03:26 [INFO] 청크   73 완료 | 처리:   100행 | 성공:   6,164 / 실패:  1,136 | 누적:    7,300/56,831 | 경과:  1115.47초
2026-07-02 16:03:39 [INFO] 청크   74 완료 | 처리:   100행 | 성공:   6,244 / 실패:  1,156 | 누적:    7,400/56,831 | 경과:  1129.16초
2026-07-02 16:03:55 [INFO] 청크   75 완료 | 처리:   100행 | 성공:   6,333 / 실패:  1,167 | 누적:    7,500/56,831 | 경과:  1144.66초
2026-07-02 16:04:10 [INFO] 청크   76 완료 | 처리:   100행 | 성공:   6,418 / 실패:  1,182 | 누적:    7,600/56,831 | 경과:  1159.66초
2026-07-02 16:04:25 [INFO] 청크   77 완료 | 처리:   100행 | 성공:   6,502 / 실패:  1,198 | 누적:    7,700/56,831 | 경과:  1174.60초
2026-07-02 16:04:39 [INFO] 청크   78 완료 | 처리:   100행 | 성공:   6,583 / 실패:  1,217 | 누적:    7,800/56,831 | 경과:  1189.13초
2026-07-02 16:04:52 [INFO] 청크   79 완료 | 처리:   100행 | 성공:   6,659 / 실패:  1,241 | 누적:    7,900/56,831 | 경과:  1202.07초
2026-07-02 16:05:10 [INFO] 청크   80 완료 | 처리:   100행 | 성공:   6,745 / 실패:  1,255 | 누적:    8,000/56,831 | 경과:  1220.02초
2026-07-02 16:05:24 [INFO] 청크   81 완료 | 처리:   100행 | 성공:   6,826 / 실패:  1,274 | 누적:    8,100/56,831 | 경과:  1234.11초
2026-07-02 16:05:39 [INFO] 청크   82 완료 | 처리:   100행 | 성공:   6,911 / 실패:  1,289 | 누적:    8,200/56,831 | 경과:  1249.14초
2026-07-02 16:05:54 [INFO] 청크   83 완료 | 처리:   100행 | 성공:   6,991 / 실패:  1,309 | 누적:    8,300/56,831 | 경과:  1263.79초
2026-07-02 16:06:10 [INFO] 청크   84 완료 | 처리:   100행 | 성공:   7,075 / 실패:  1,325 | 누적:    8,400/56,831 | 경과:  1279.39초
2026-07-02 16:06:25 [INFO] 청크   85 완료 | 처리:   100행 | 성공:   7,163 / 실패:  1,337 | 누적:    8,500/56,831 | 경과:  1294.62초
2026-07-02 16:06:40 [INFO] 청크   86 완료 | 처리:   100행 | 성공:   7,249 / 실패:  1,351 | 누적:    8,600/56,831 | 경과:  1310.03초
2026-07-02 16:06:57 [INFO] 청크   87 완료 | 처리:   100행 | 성공:   7,339 / 실패:  1,361 | 누적:    8,700/56,831 | 경과:  1326.89초
2026-07-02 16:07:13 [INFO] 청크   88 완료 | 처리:   100행 | 성공:   7,425 / 실패:  1,375 | 누적:    8,800/56,831 | 경과:  1342.91초
2026-07-02 16:07:29 [INFO] 청크   89 완료 | 처리:   100행 | 성공:   7,510 / 실패:  1,390 | 누적:    8,900/56,831 | 경과:  1358.57초
2026-07-02 16:07:44 [INFO] 청크   90 완료 | 처리:   100행 | 성공:   7,592 / 실패:  1,408 | 누적:    9,000/56,831 | 경과:  1373.50초
2026-07-02 16:08:00 [INFO] 청크   91 완료 | 처리:   100행 | 성공:   7,680 / 실패:  1,420 | 누적:    9,100/56,831 | 경과:  1389.34초
2026-07-02 16:08:15 [INFO] 청크   92 완료 | 처리:   100행 | 성공:   7,763 / 실패:  1,437 | 누적:    9,200/56,831 | 경과:  1404.34초
2026-07-02 16:08:31 [INFO] 청크   93 완료 | 처리:   100행 | 성공:   7,851 / 실패:  1,449 | 누적:    9,300/56,831 | 경과:  1420.70초
2026-07-02 16:08:46 [INFO] 청크   94 완료 | 처리:   100행 | 성공:   7,938 / 실패:  1,462 | 누적:    9,400/56,831 | 경과:  1436.12초
2026-07-02 16:09:02 [INFO] 청크   95 완료 | 처리:   100행 | 성공:   8,021 / 실패:  1,479 | 누적:    9,500/56,831 | 경과:  1451.86초
2026-07-02 16:09:17 [INFO] 청크   96 완료 | 처리:   100행 | 성공:   8,107 / 실패:  1,493 | 누적:    9,600/56,831 | 경과:  1467.02초
2026-07-02 16:09:34 [INFO] 청크   97 완료 | 처리:   100행 | 성공:   8,195 / 실패:  1,505 | 누적:    9,700/56,831 | 경과:  1483.49초
2026-07-02 16:09:49 [INFO] 청크   98 완료 | 처리:   100행 | 성공:   8,280 / 실패:  1,520 | 누적:    9,800/56,831 | 경과:  1499.10초
2026-07-02 16:10:03 [INFO] 청크   99 완료 | 처리:   100행 | 성공:   8,359 / 실패:  1,541 | 누적:    9,900/56,831 | 경과:  1512.69초
2026-07-02 16:10:18 [INFO] 청크  100 완료 | 처리:   100행 | 성공:   8,444 / 실패:  1,556 | 누적:   10,000/56,831 | 경과:  1527.72초
2026-07-02 16:10:37 [INFO] 청크  101 완료 | 처리:   100행 | 성공:   8,535 / 실패:  1,565 | 누적:   10,100/56,831 | 경과:  1546.37초
2026-07-02 16:10:52 [INFO] 청크  102 완료 | 처리:   100행 | 성공:   8,621 / 실패:  1,579 | 누적:   10,200/56,831 | 경과:  1562.21초
2026-07-02 16:11:07 [INFO] 청크  103 완료 | 처리:   100행 | 성공:   8,703 / 실패:  1,597 | 누적:   10,300/56,831 | 경과:  1577.02초
2026-07-02 16:11:22 [INFO] 청크  104 완료 | 처리:   100행 | 성공:   8,789 / 실패:  1,611 | 누적:   10,400/56,831 | 경과:  1591.91초
